,Name,Price,Price per,Unit,Packet Size,Supermarket,Category
0,Landbeck / Aldi Nord Bockwurst im zarten Saitling,"5,49 €","3,33 €",Preis pro 1 KG,(Dose 1650 Gramm),aldi-nord,Konserven
1,Gut Drei Eichen Hausmacher Jagdwurst,"1,79 €","0,72 €",Preis pro 100 Gramm,(Glas 250 Gramm),aldi-nord,Konserven
2,Pottkieker Erbsen Eintopf mit geräuchertem Schweinebauch,"0,99 €","1,24 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
3,Pottkieker Hühnersuppentopf mit Muschelnudeln,"0,85 €","1,06 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
4,Pottkieker Texas Eintopf mit Chilibohnen und Paprika - feurig,"0,85 €","1,06 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
5,Golden Fruit Apfelmus,"0,55 €","0,77 €",Preis pro 1 KG,(Getränkekarton 710 Gramm),aldi-nord,Konserven
6,"Landbeck / Aldi Nord Wiener Würstchen im zarten Saitling, 6 Stück x 50g","2,49 €","8,30 €",Preis pro 1 KG,(Dose 300 Gramm),aldi-nord,Konserven
7,Andi Bratheringsfilets,"0,99 €","3,05 €",Preis pro 1 KG,(Dose 325 Gramm),aldi-nord,Konserven
8,"Andi Geteilte Heringsfilets in Tomaten-Sauce, geteilt","0,75 €","0,38 €",Preis pro 100 Gramm,(Dose 200 Gramm),aldi-nord,Konserven
9,Traders Joes Wild Preiselbeeren Skandinavisch,"1,09 €","2,73 €",Preis pro 1 KG,(Glas 400 Gramm),aldi-nord,Konserven
10,Fjördens Bratheringsfilets,"1,19 €","3,66 €",Preis pro 1 KG,(Dose 325 Gramm),aldi-nord,Konserven
11,Kings Crown / Aldi Nord Champignons 1. Wahl - geschnitten,"0,79 €","0,00 €",Preis pro 100 ml,(Glas 280 Gramm),aldi-nord,Konserven
12,Ocean Steamer Sardinen in Sonnenblumenöl mit Chili,"0,75 €","0,60 €",Preis pro 100 Gramm,(Dose 125 Gramm),aldi-nord,Konserven
13,Gut Drei Eichen Hausmacher Leberwurst grob,"1,79 €","0,72 €",Preis pro 100 Gramm,(Glas 250 Gramm),aldi-nord,Konserven
14,Pottkieker Beste Suppentöpfe Möhren Topf mit Fleischbällchen,"1,69 €","2,11 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
15,Pottkieker Beste Suppentöpfe Nudel Topf mit Fleischbällchen,"1,69 €","2,11 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
16,Gut Drei Eichen Hausmacher Leberwurst fein,"1,79 €","0,72 €",Preis pro 100 Gramm,(Glas 250 Gramm),aldi-nord,Konserven
17,Pottkieker Grüne Bohnentopf mit Fleischbällchen,"1,69 €","2,11 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
18,Kings Crown Passierte Tomaten,"0,35 €","0,70 €",Preis pro 1 KG,(Getränkekarton 500 Gramm),aldi-nord,Konserven
19,"Golden Fruit Schattenmorellen entsteint, gezuckert","0,79 €","1,16 €",Preis pro 1 KG,(Glas 680 Gramm),aldi-nord,Konserven
20,Fjördens Heringsfilet in Tomaten Creme,"0,89 €","0,45 €",Preis pro 100 Gramm,(Dose 200 Gramm),aldi-nord,Konserven
21,Kings Crown / Aldi Nord Hojiblanca schwarze Oliven entsteint,"0,69 €","0,19 €",Preis pro 100 ml,(Glas 370 ML),aldi-nord,Konserven
22,Klostergarten Gurkenhappen schlesische Art,"0,59 €","1,11 €",Preis pro 1 KG,(Glas 530 Gramm),aldi-nord,Konserven
23,Kings Crown / Aldi Nord Champignons 1. Wahl - ganze Köpfe,"0,89 €","2,23 €",Preis pro 1 KG,(Dose 400 Gramm),aldi-nord,Konserven
24,Kings Crown Junge Erbsen extra fein,"0,49 €","1,23 €",Preis pro 1 KG,(Dose 400 Gramm),aldi-nord,Konserven
25,Kings Crown Tomaten fein gehackt in Tomatensaft,"0,45 €","0,00 €",Preis pro 1 Liter,(Dose 400 Gramm),aldi-nord,Konserven
26,Pottkieker Deftige Mahlzeit Sauerkraut Topf mit Kasselerschulter und Kartoffeln,"1,39 €","1,74 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
27,"Kings Crown ganze Tomaten im eigenen Saft, geschält","0,55 €","0,65 €",Preis pro 1 Liter,(),aldi-nord,Konserven
28,Ocean Steamer Sardinen in Sonnenblumenöl mit Zitrone,"0,55 €","0,44 €",Preis pro 100 Gramm,(Dose 125 Gramm),aldi-nord,Konserven
29,"Traders Joes Pfirsiche Halbe Frucht, gezuckert","1,19 €","1,45 €",Preis pro 1 KG,(Dose 820 Gramm),aldi-nord,Konserven
30,Ocean Steamer Thunfisch Filets geschnittene Filets in Sonnenblumenöl,"1,29 €","0,66 €",Preis pro 100 Gramm,(Dose 195 Gramm),aldi-nord,Konserven
31,"Könecke Wiener Würstchen im zarten Saitling, 6 Stück","2,09 €","6,97 €",Preis pro 1 KG,(Dose 300 Gramm),aldi-nord,Konserven
32,Fjördens Feines Lachsfilet in Senf Dijon Sauce,"1,99 €","1,00 €",Preis pro 100 Gramm,(Dose 200 Gramm),aldi-nord,Konserven
33,"Golden Fruit Sauerkirschen entsteint, gezuckert","1,39 €","1,93 €",Preis pro 1 Liter,(Glas 720 ML),aldi-nord,Konserven
34,"fitfrutti Fruchtmus Apfel Erdbeere, 4 x 100 g","1,49 €","3,73 €",Preis pro 1 KG,(Packung 400 Gramm),aldi-nord,Konserven
35,fitfrutti Fruchtmus Apfel Banane,"1,49 €","3,73 €",Preis pro 1 KG,(Packung 400 Gramm),aldi-nord,Konserven
36,Golden Fruit Fruchtcocktail Sommerlich,"1,69 €","3,52 €",Preis pro 1 KG,(Packung 480 Gramm),aldi-nord,Konserven
37,Klostergarten Weinsauerkraut mild,"0,39 €","0,78 €",Preis pro 1 KG,(Beutel 500 Gramm),aldi-nord,Konserven
38,Rio Plata Brasilianisches Corned Beef,"1,19 €","0,35 €",Preis pro 100 Gramm,(Dose 340 Gramm),aldi-nord,Konserven
39,Ocean Steamer Thunfisch Filets im eigenen Saft und Aufguss,"1,29 €","0,66 €",Preis pro 100 Gramm,(Dose 195 Gramm),aldi-nord,Konserven
40,Aldi Nord Champignons 3. Wahl - geschnitten,"0,49 €","0,17 €",Preis pro 100 Gramm,(Dose 290 Gramm),aldi-nord,Konserven
41,Pottkieker Frikadellentopf mit Kartoffeln und Karotten,"1,39 €","1,74 €",Preis pro 1 KG,(Dose 800 Gramm),aldi-nord,Konserven
42,Greece Pfefferonen,"0,99 €","0,20 €",Preis pro 100 Gramm,(Beutel 500 Gramm),aldi-nord,Konserven
