,Name,Price,Price per,Unit,Packet Size,Supermarket
6260,Nivea Entspannendes Hautöl,"6,19 €","4,13 €",Preis pro 100 ml,(Flasche (Kunststoff) 150 ML),edeka
6261,Nivea Sun Anti Age Sonnencreme LSF 20,"7,85 €","15,70 €",Preis pro 100 ml,(Tube 50 ML),edeka
6262,Nivea Deodorant Spray Fresh Natural,"1,99 €","1,33 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6263,Nivea for Men Deodorant Spray Dry Impact,"1,99 €","1,33 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6264,Nivea  Deo Compact Dry Comfort,"2,15 €","10,75 €",Preis pro 100 ml,(Spraydose 20 ML),edeka
6265,Nivea Dry Comfort Creme,"2,59 €","3,45 €",Preis pro 100 ml,(Tube 75 ML),edeka
6266,Nivea Deodorant Zerstäuber Fresh Natural,"3,25 €","4,33 €",Preis pro 100 ml,(Sprühflasche 75 ML),edeka
6267,Tetesept Gesundheitsbad Entspannungsbad,"5,45 €","4,36 €",Preis pro 100 ml,(Flasche (Glas) 125 ML),edeka
6268,Poly Palette Intensiv-Creme-Coloration Schokobraun,"3,79 €","3,79 €",Preis pro Stück,(Packung 1 Stück),edeka
6269,Poly Palette Intensiv-Creme-Coloration Schwarz,"3,79 €","3,79 €",Preis pro Stück,(Packung 1 Stück),edeka
6270,"Fa  Duschgel Tropic Mix 2-er Carribean Lemon, 2 x 250 ml","2,99 €","0,60 €",Preis pro 100 ml,(Doppelpackung 500 ML),edeka
6271,Duschdas Deo Spray Golden Cashmere,"1,55 €","1,03 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6272,dusch das Deo Spray Vitamin & Pflege,"1,55 €","1,03 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6273,Wilkinson Rasierklingen Classic,"3,45 €","0,35 €",Preis pro Stück,(Packung 10 Stück),edeka
6274,L Oreal Elnett Haarspray extra starker Halt,"3,45 €","1,15 €",Preis pro 100 ml,(Spraydose 300 ML),edeka
6275,"L Oreal Studio Line Design Gel Fix & Style, Ultra stark","3,99 €","2,66 €",Preis pro 100 ml,(Tube 150 ML),edeka
6276,Hipp Babysanft Shampoo mit natürlichem Mandelextrakt,"2,45 €","1,23 €",Preis pro 100 ml,(Flasche (Kunststoff) 200 ML),edeka
6277,Wilkinson Extra 2 Sensitive,"2,89 €","0,58 €",Preis pro Stück,(Beutel 5 Stück),edeka
6278,Palmolive Flüssigseife Naturals Mandelmilch,"1,29 €","4,30 €",Preis pro 1 Liter,(Spenderflasche 300 ML),edeka
6279,Dove Beauty Pflegedusche Creme-Öl mit Kirschblüten & Mandelduft,"1,95 €","0,78 €",Preis pro 100 ml,(Flasche (Kunststoff) 250 ML),edeka
6280,Dove Deo Spray Original,"2,49 €","1,66 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6281,Dove Beauty Body Lotion Hydro,"3,45 €","0,86 €",Preis pro 100 ml,(Flasche (Kunststoff) 400 ML),edeka
6282,Axe Bodyspray Alaska,"2,99 €","1,99 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6283,Axe Bodyspray Shock,"2,99 €","1,99 €",Preis pro 100 ml,(Spraydose 150 ML),edeka
6284,"o.b. Tampons 32-er Super Plus, 32 Stück","4,99 €","15,59 €",Preis pro 100 Stück,(Packung 32 Stück),edeka
6285,"Hansaplast Classic Fixierpflaster 5 m x 2,5 cm","2,15 €","2,15 €",Preis pro Stück,(Packung 1 Stück),edeka
6286,Hansaplast Hühneraugen Pflaster,"2,95 €","0,37 €",Preis pro Stück,(Packung 8 Stück),edeka
6287,Hansaplast Junior Knie und Ellenbogen,"3,25 €","0,41 €",Preis pro Stück,(Packung 8 Stück),edeka
6288,Hansaplast Universal,"1,45 €","0,15 €",Preis pro Stück,(Packung 10 Stück),edeka
6289,Hansaplast Universal Strips,"2,75 €","0,07 €",Preis pro Stück,(Packung 40 Stück),edeka
6290,Camelia Binden Normal,"1,59 €","0,09 €",Preis pro Stück,(Packung 18 Stück),edeka
6291,Nivea Visage Erfrischende Reinigungstücher,"2,79 €","0,11 €",Preis pro Stück,(Packung 25 Stück),edeka
6292,"Bounty Küchentuch Weiss, 45 x 4 Rollen","2,15 €","0,54 €",Preis pro Stück,(Packung 4 Stück),edeka
6293,Wilkinson Rasierpinsel Feinste Borste,"3,49 €","3,49 €",Preis pro Stück,(Packung 1 Stück),edeka
6294,Wilkinson Babyschere Chrome,"8,99 €","8,99 €",Preis pro Stück,(Packung 1 Stück),edeka
6295,"Wilkinson Saphirfeile Design Chrome, kurz","2,49 €","2,49 €",Preis pro Stück,(Packung 1 Stück),edeka
6296,Vileda WischMat Extra mit Teleskopstiel,"19,99 €","19,99 €",Preis pro Stück,(Packung 1 Stück),edeka
6297,Vileda WischMat Combi mit Teleskopstiel,"19,99 €","19,99 €",Preis pro Stück,(Packung 1 Stück),edeka
6298,Wilkinson Haarschere,"9,69 €","9,69 €",Preis pro Stück,(Packung 1 Stück),edeka
6299,Herta Krakauer mit milden Peperoncini,"3,79 €","0,95 €",Preis pro 100 Gramm,(Packung 400 Gramm),edeka
6300,Nestle Schokoladenkuchenteig,"3,49 €","6,35 €",Preis pro 1 KG,(Packung 550 Gramm),edeka
6301,Nestle Pizzateig,"1,59 €","6,91 €",Preis pro 1 KG,(Packung 230 Gramm),edeka
6302,Hilcona Primissima Pizza Salami,"2,99 €","9,65 €",Preis pro 1 KG,(Packung 310 Gramm),edeka
6303,Nestle Zimtplätzchen-Teig frisch,"1,99 €","0,57 €",Preis pro 100 Gramm,(Packung 350 Gramm),edeka
6304,Nestle Weihnachtsknusper,"1,99 €","0,57 €",Preis pro 100 Gramm,(Packung 350 Gramm),edeka
6305,Buitoni Fagottini Ricotta e Basilico,"1,99 €","0,80 €",Preis pro 100 Gramm,(Packung 250 Gramm),edeka
6306,Buitoni Cappelletti Prosciutto crudo,"1,99 €","0,80 €",Preis pro 100 Gramm,(Packung 250 Gramm),edeka
6307,Buitoni Tortelloni Ricotta e Spinaci,"1,99 €","7,96 €",Preis pro 1 KG,(Packung 250 Gramm),edeka
6308,Buitoni Tagliatelle Frumento duro,"1,99 €","7,96 €",Preis pro 1 KG,(Packung 250 Gramm),edeka
6309,Chavroux Tendre Buche Weichkäse Ziege,"2,49 €","1,66 €",Preis pro 100 Gramm,(Packung 150 Gramm),edeka
6310,Mövenpick Eiscreme Apfelstrudel Vanille,"3,19 €","3,54 €",Preis pro 1 Liter,(Packung 900  ML),edeka
6311,Thomy Gourmet Senf Sauce Orangen,"1,79 €","1,33 €",Preis pro 100 ml,(Glas 135 ML),edeka
6312,Thomy Gourmet Senf Feigen,"1,79 €","1,33 €",Preis pro 100 ml,(Glas 135 ML),edeka
6313,BioGourmet Geniesser Müsli Schoko Nuss - ohne Rosinen,"3,29 €","8,77 €",Preis pro 1 KG,(Packung 375 Gramm),edeka
6314,Nestle Fitness Knusperleicht Müsli Schoko,"2,49 €","7,11 €",Preis pro 1 KG,(Packung 350 Gramm),edeka
6315,Nestle Fitness & Joghurt mit Vollkornweizen,"2,89 €","8,26 €",Preis pro 1 KG,(Packung 350 Gramm),edeka
6316,Buitoni Maccheroni,"1,49 €","1,49 €",Preis pro 1 KG,(Packung 1000 Gramm),edeka
6317,Lien Ying Thai Curry-Paste grün,"2,29 €","1,83 €",Preis pro 100 Gramm,(Glas 125 Gramm),edeka
6318,Thomy Les Sauces Wildrahm,"0,99 €","0,40 €",Preis pro 100 ml,(Getränkekarton 250 ML),edeka
6319,Thomy Les Sauces a l Orange,"0,99 €","0,40 €",Preis pro 100 ml,(Getränkekarton 250 ML),edeka
6320,Maggi Meisterklasse Chinesische Wan Tan Suppe,"0,79 €","1,41 €",Preis pro 100 Gramm,(Beutel 56 Gramm),edeka
6321,Maggi La Pasta Sauce Formaggio e Spinaci,"0,79 €","31,60 €",Preis pro 1 KG,(Packung 25 Gramm),edeka
6322,Maggi Guten Appetit Steinpilzsuppe 4 Teller,"0,65 €","0,87 €",Preis pro 100 Gramm,(Beutel 75 Gramm),edeka
6323,Maggi Meisterklasse Rotwein-Schalotten Sauce,"0,79 €","2,72 €",Preis pro 100 Gramm,(Packung 29 Gramm),edeka
6324,Maggi Delikatess Jägersoße Bonuspack 2+1 3 x 27g,"0,99 €","1,22 €",Preis pro 100 Gramm,(Packung 81 Gramm),edeka
6325,Maggi fix & frisch Elsässer Rahm-Schnitzel,"0,75 €","1,67 €",Preis pro 100 Gramm,(Beutel 45 Gramm),edeka
6326,Maggi Natur Pur Rindfleisch Suppe mit Nudel,"0,99 €","2,30 €",Preis pro 100 Gramm,(Beutel 43 Gramm),edeka
6327,Maggi Meisterklasse 3-Pfeffer-Cremesuppe,"0,79 €","1,76 €",Preis pro 100 Gramm,(Beutel 45 Gramm),edeka
6328,Maggi Schnelle Pfanne Toskana,"1,19 €","1,86 €",Preis pro 100 Gramm,(Packung 64 Gramm),edeka
6329,Maggi Natur Pur Bio Fix Gemüse Bolognese,"0,99 €","2,48 €",Preis pro 100 Gramm,(Packung 40 Gramm),edeka
6330,Maggi Meisterklasse Hummer-Cremesuppe,"0,95 €","2,26 €",Preis pro 100 Gramm,(Beutel 42 Gramm),edeka
6331,Buitoni Pesto Basilico,"1,99 €","1,33 €",Preis pro 100 ml,(Glas 150 ML),edeka
6332,Milasan HA 1 Hypoallergene Säuglingsnahrung von der 1. Flasche an,"7,95 €","13,25 €",Preis pro 1 KG,(Packung 600 Gramm),edeka
6333,Milasan 3 Junior-Folgemilch ab dem 8. Monat,"6,95 €","8,69 €",Preis pro 1 KG,(Dose 800 Gramm),edeka
6334,Nestle Beba H.A. 1 Hypoallergene Anfangsnahrung von Geburt an,"12,95 €","21,58 €",Preis pro 1 KG,(Packung 600 Gramm),edeka
6335,Maggi 5 Minuten Terrine Winter Edition 3-Pfeffer-Nudeln,"0,99 €","1,68 €",Preis pro 100 Gramm,(Becher 59 Gramm),edeka
6336,Maggi Natur Pur Bio Terrine Nudeln in Strauchtomaten Sauce,"1,29 €","2,35 €",Preis pro 100 Gramm,(Becher 55 Gramm),edeka
6337,Libbys Natursüß Mandarin-Orangen,"1,29 €","0,41 €",Preis pro 100 ml,(Dose 314 ML),edeka
6338,"Libbys Ananas in Scheiben, 4 Stück","0,99 €","4,19 €",Preis pro 1 Liter,(Dose 236 ML),edeka
6339,Kornmark Mehrkornschnitten,"0,85 €","1,70 €",Preis pro 1 KG,(Packung 500 Gramm),edeka
6340,Alpia Weisse Schokolade mit mind. 27% Kakao,"0,59 €","0,59 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6341,Karina Edelrahm Nuss 5-er 5 x 40 g,"1,19 €","0,60 €",Preis pro 100 Gramm,(Pack 200  Gramm),edeka
6342,Karina Zartbitter Schokolade 5-er 5 x 40 g,"0,99 €","0,50 €",Preis pro 100 Gramm,(Pack 200 Gramm),edeka
6343,Sarotti Mokka Sahne Schokolade Gefüllte Vollmilchschokolade,"0,79 €","0,79 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6344,Sarotti No. 1 Brasilien Minze Schokolade 60% Kakao,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6345,Sarotti Mandel-Karamell Schokolade nur für kurze Zeit,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6346,Sarotti Verlangen Mango Schokolade Feinste Vollmilchschokolade,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6347,Sarotti Verführung Erdbeermousse mit Pfeffer Schokolade Feinste Bitter Schokolade,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6348,"Sarotti No.1 Papua Neuguinea 72% Kakao Schokolade Orange, Edelbitter","0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6349,Sarotti No. 1 Sao Thome Schokolade 75% Kakao,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6350,Sarotti No.1 Ecuador 72% Kakao Schokolade Edelbitter,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6351,Sarotti Napolitains Original Schweizer Schokolade,"1,89 €","0,95 €",Preis pro 100 Gramm,(Beutel 200  Gramm),edeka
6352,Sarotti Grand Chocolat Walnuss-Ahornsirup Edel-Vollmilchschokolade,"1,89 €","0,95 €",Preis pro 100 Gramm,(Tafel 200 Gramm),edeka
6353,Sarotti Bio Vollmilch Schokolade 34% Kakao,"1,49 €","1,49 €",Preis pro 100 Gramm,(Tafel 100 Gramm),edeka
6354,Milka Weihnachtsmann Tafel,"0,99 €","1,16 €",Preis pro 100 Gramm,(Tafel 85 Gramm),edeka
6355,Nestle Smarties Klapper Klaus,"1,79 €","1,79 €",Preis pro 100 Gramm,(Packung 100 Gramm),edeka
6356,After Eight Weihnachtsmann 4-er 4 x 20 g,"1,99 €","2,49 €",Preis pro 100 Gramm,(Packung 80 Gramm),edeka
6357,After Eight Weihnachtsmann,"1,99 €","1,59 €",Preis pro 100 Gramm,(Lose 125 Gramm),edeka
6358,Nestle Smarties Multi Klapper Mix,"1,79 €","2,65 €",Preis pro 100 Gramm,(Packung 67.5 Gramm),edeka
6359,After Eight Osterhase,"1,99 €","1,59 €",Preis pro 100 Gramm,(Folie 125 Gramm),edeka
6360,Nestle Nesquik Quicky-Hase,"1,99 €","1,66 €",Preis pro 100 Gramm,(Lose 120 Gramm),edeka
6361,Karina Sole Mio Kirsch-Pralinen,"1,99 €","0,88 €",Preis pro 100 Gramm,(Packung 225 Gramm),edeka
6362,Karina Knusper Gipfel Pralinen Schoko-Knusper-Pralinen,"1,49 €","0,75 €",Preis pro 100 Gramm,(Packung 200 Gramm),edeka
6363,Karina Fondue Schokolade Zartbitter,"3,99 €","6,65 €",Preis pro 1 KG,(Packung 600 Gramm),edeka
