,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Tamara Konfitüre extra Erdbeer,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.22
1,Nutella,3.79,100 Gramm,Glas 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.505
2,Nusskati Nuss Nougat Creme,1.29,100 Gramm,Glas 400 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.323
3,Markus Kaffee Gold fein-würzig,3.19,100 Gramm,Packung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.638
4,"Milsani Kondensmilch 7,5 % Fett",0.56,100 ml,Packung 319 ML,aldi-nord,"Müsli, Konfitüre & Kaffee",0.18
5,Tamara Konfitüre extra Sauerkirsch,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.22
6,Moreno / Aldi Nord Caffe Crema ganze Bohnen,7.49,100 Gramm,Packung 1 KG,aldi-nord,"Müsli, Konfitüre & Kaffee",0.749
7,Tamara Konfitüre extra Waldfrucht,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.22
8,Gut Bio Honigauslese flüssig,3.55,100 Gramm,Glas 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.71
9,Gut Bio Honig cremig,3.55,100 Gramm,Glas 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.71
10,Aldi Nord Blütenhonig Cremig,2.29,100 Gramm,Glas 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.458
11,Schovit / Aldi Nord Kakaohaltiges Getränkepulver,2.29,100 Gramm,Dose 800 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.286
12,Gletscherkrone Nugat Bits,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
13,Gletscherkrone Vollkorn Haferkissen mit wichtigen Vitaminen,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
14,Fair Fairtrade Blütenhonig cremig,3.59,100 Gramm,Glas 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.718
15,Tamara Konfitüre extra Aprikose,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.22
16,Tamara Konfitüre extra Kirsch-Maracuja-Pfirsich,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.22
17,Milsani Kaffeesahne Kännchen,0.39,100 Gramm,Becher 200 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.2
18,Moreno Kaffeepads Klassisch,2.79,100 Gramm,Packung 288 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.0
19,Diadem Raffinade Zucker feine Körnung,0.75,100 Gramm,Packung 1000 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.075
20,Gletscherkrone Zimt Chips,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
21,ideal Haferflocken Köstlich-zarte Vollkorn Haferflocken,0.39,100 Gramm,Packung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.078
22,Gletscherkrone Schoko Chips,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
23,Combo / Aldi Nord Cappuccino Pulver Wiener Melange,1.69,100 Gramm,Dose 200 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.85
24,"Milsani leicht  Kondensmilch teilentrahmte, 4% Fett",0.5,100 Gramm,Getränkekarton 340 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.15
25,Ofterdinger Ei Schnittlauch Brotaufstrich,0.89,100 Gramm,Eimer 150 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.59
26,Kölln Blütenzarte Köllnflocken,0.99,100 Gramm,Packung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.198
27,Contifrucht Sauerkirsch Konfitüre extra mit Süßungsmittel Sorbit,3.69,100 Gramm,Doppelpackung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.738
28,Markus Hochland Exclusiv Kaffee 2 x 250 g,1.79,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.23900000000000002
29,Gletscherkrone Honey Balls,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
30,Gletscherkrone Cornflakes 2 x 500 g,1.99,100 Gramm,Packung 1000 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.199
31,Moreno / Aldi Nord Caffe Espresso ganze Bohnen,7.49,100 Gramm,Packung 1 KG,aldi-nord,"Müsli, Konfitüre & Kaffee",0.749
32,Albona Vanillezucker,0.25,100 Gramm,Packung 120 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.21
33,Markus BIO Kaffee mild,4.79,100 Gramm,Packung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.958
34,Milsani Kaffeesahne,0.57,100 Gramm,"Packung 200 Gramm, 20 x 10g",aldi-nord,"Müsli, Konfitüre & Kaffee",0.29
35,Schneekoppe Bio Agaven Dicksaft,2.59,100 ml,Flasche Kunststoff 360 ML,aldi-nord,"Müsli, Konfitüre & Kaffee",0.72
36,Dr. Oetker Vitalis Schoko Müsli klassisch,2.79,100 Gramm,Packung 600 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.465
37,Moreno Typ Cappuccino Wiener Melange,1.35,100 Gramm,Packung 180 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.75
38,Westminster Ostfriesische Teemischung,1.39,100 Gramm,Packung 250 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.56
39,Aldi Nord Kaffeeweißer,0.75,100 Gramm,Glas 250 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.3
40,Diadem Würfelzucker,0.79,100 Gramm,Packung 1000 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.079
41,Markus Kaffee Gold entcoffeiniert,3.29,100 Gramm,Packung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.658
42,Kena Gold Premium,2.29,100 Gramm,Glas 100 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",2.29
43,Gletscherkrone White Flakes,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
44,Gletscherkrone Wellness Flakes fettarm,1.99,100 Gramm,Packung 750 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.265
45,Markus Kaffee mild,3.49,100 Gramm,Packung 500 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.6980000000000001
46,Combo / Aldi Nord Typ Trinkschokolade,1.79,100 Gramm,Packung 275 Gramm,aldi-nord,"Müsli, Konfitüre & Kaffee",0.65
47,Moreno / Aldi Nord Bio Caffe Crema ganze Bohnen,9.49,100 Gramm,Packung 1 KG,aldi-nord,"Müsli, Konfitüre & Kaffee",0.9490000000000001
