,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Sprengel / Aldi Nord Herz Kirschen,1.79,100 Gramm,Packung 250 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.72
1,Freihofer Gourmet Frische Belgische Pralinen gekühlt,5.49,100 Gramm,Packung 500 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.1
2,Biscotto Kokos Törtchen,1.79,100 Gramm,Packung 400 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.45
3,Haribo Goldbären,0.99,100 Gramm,Beutel 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.5
4,Feurich Chips Paprika,0.75,100 Gramm,Beutel 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.38
5,Kurpfalz Rolle Doppelkeks mit Kakaocreme-Füllung,0.79,100 Gramm,Rolle 500 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.16
6,Traders Joes Californische Pistazien geröstet und gesalzen,3.19,100 Gramm,Beutel 250 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.28
7,Funny Frisch Chipsfrisch Ungarisch,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.79
8,Traders Joes Macadamia Nüsse trockengeröstet und gesalzen,2.99,100 Gramm,Beutel 125 Gramm,aldi-nord,Süßwaren & Knabberartikel,2.39
9,Trader Joes Kalifornische Walnusskerne,1.99,100 Gramm,Packung 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.0
10,Trader Joes ganze Cranberries gezuckert,1.99,100 Gramm,Beutel 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.0
11,Biscotto Limonaie Feines Gebäck mit Zitronencreme,1.59,100 Gramm,Packung 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.8
12,Chateau Schokoriegel Joghurt,1.29,Preis pro 100 Stück,Packung 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.65
13,Nussbeisser Schokolade Vollmilchschokolade mit ganzen Nüssen,0.59,100 Gramm,Tafel 100 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.59
14,Biscotto Schoko Duo Vollmilch,0.69,100 Gramm,Packung 125 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.55
15,Biscotto a la carte Gebäck & Waffelmischung,0.99,100 Gramm,Packung 500 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.198
16,Feurich Salzstangen,0.39,100 Gramm,Beutel 250 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.16
17,Traders Joes Pinienkerne,2.29,100 Gramm,Beutel 50 Gramm,aldi-nord,Süßwaren & Knabberartikel,4.58
18,Biscotto Schoko-Butter Gebäck,1.49,100 Gramm,Packung 300 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.5
19,Biscotto American Cookies,0.79,100 Gramm,Packung 225 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.35
20,Traders Joes Sultaninen ungeschwefelt,0.79,100 Gramm,Beutel 250 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.32
21,Traders Joes Kalifornische Mandeln,1.99,100 Gramm,Beutel 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.0
22,Biscotto Kurpfalz Rolle Doppelkeks,0.99,100 Gramm,Rolle 500 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.2
23,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 230 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.3
24,Ferrero Kinder Riegel,1.99,100 Gramm,"10 x 21 g, Packung 210 Gramm",aldi-nord,Süßwaren & Knabberartikel,0.95
25,Biscotto Butterkeks je 2 x 200 g,0.99,100 Gramm,Packung 400 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.25
26,Biscotto Vollkorn Butterkeks,0.99,100 Gramm,Packung 400 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.25
27,Biscotto Jaffa Cake,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.33
28,Biscotto Schoko Butterkeks Edelherb,0.69,100 Gramm,Packung 125 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.55
29,Biscotto Hafertaler Double Choc Schwedengebäck,2.49,100 Gramm,Packung 525 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.47
30,Biscotto Vital Gebäck Cashewkerne und Erdnüsse,1.59,100 Gramm,Beutel 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.8
31,Sprengel / Aldi Nord Edelste Pralinen mit feiner Vollmilchschokolade,3.99,100 Gramm,Packung 300 Gramm,aldi-nord,Süßwaren & Knabberartikel,1.33
32,Ferrero Milchschnitte,1.99,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-nord,Süßwaren & Knabberartikel,0.71
33,Biscotto a la carte Waffelmischung,0.99,100 Gramm,Packung 500 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.198
34,Biscotto Doppelino 2 x 250 g Gebäck mit Creme Füllung,1.69,100 Gramm,Packung 500 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.34
35,Chateau Milch Jumbo Haselnuss,1.09,100 Gramm,Packung 150 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.73
36,Biscotto Schoko Waffeln Zartbitter,1.29,100 Gramm,Packung 175 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.74
37,Biscotto Schoko Waffeln Vollmilch,1.29,100 Gramm,Packung 175 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.74
38,De Beukelaer Prinzen Rolle mit Kakaocreme,1.49,100 Gramm,Rolle 400 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.37
39,Funny Frisch Chipsfrisch Peperoni,1.39,100 Gramm,Beutel 175 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.79
40,Biscotto Jaffa Cake Pfirsich Maracuja,0.99,100 Gramm,,aldi-nord,Süßwaren & Knabberartikel,0.33
41,Haribo Pico-Balla,0.99,100 Gramm,Beutel 175 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.57
42,Joynuts Erdnuss Flips,0.59,100 Gramm,Beutel 200 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.0
43,Van Botta Butterkeks 2 x 200 g,0.89,100 Gramm,Packung 400 Gramm,aldi-nord,Süßwaren & Knabberartikel,0.22
