,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
1309,Suttero Bündnerfleisch,2.99,100 Gramm,Packung 50 Gramm,kaufland,Fleisch Wurst Aufschnitt,5.98
1310,K Classic Kasseler Aufschnitt gepöckelt und gegart,1.19,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.19
1311,K Classic Truthahn Salami mit Pflanzenfett rein Geflügel,0.99,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.24
1312,"K Purland Frisches Mett Schweinemett / Hackepeter, 2 x 75 g",0.79,100 Gramm,Packung 150 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.53
1313,Purland Schweinekotelett 3 Stück,3.71,100 Gramm,Vakuum 650 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.571
1314,K Purland Kutteln vom Rind,3.99,100 Gramm,Packung 650 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.614
1315,K Purland Schinkengulasch vom Schwein,2.71,100 Gramm,Packung 454 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.597
1316,K Purland Lammkoteletts mariniert aufgetaut,4.17,100 Gramm,Packung 278 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.5
1317,"K Classic Gourmet Salami mild geräuchert, hauchfein geschnitten",1.39,100 Gramm,Packung 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.11
1318,"K Classic Jagdwurst norddeutsche Art, am Stück",4.69,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.46900000000000003
1319,"K Purland Roastbeef / Rumsteak zum Kurzbraten, vorgereift",4.0,100 Gramm,Packung 214 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.8690000000000002
1320,K Classic Delikatess Gutsschinken,1.19,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.19
1321,K Classic Delikatess Aalrauchschinken,1.19,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.19
