,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Buttella Raps Vitalöl Kaltgepresst,0.99,100 ml,Flasche Glas 0.5 L,aldi-nord,Nahrungsmittel,0.198
1,Buttella feines Sonnenblumenöl,0.99,100 ml,Flasche Kunststoff 1 L,aldi-nord,Nahrungsmittel,0.099
2,Goldähren Qualitäts Weizenmehl Type 405,0.39,100 Gramm,Packung 1000 Gramm,aldi-nord,Nahrungsmittel,0.039
3,Gut Bio Fussili,0.75,100 Gramm,Beutel 500 Gramm,aldi-nord,Nahrungsmittel,0.15
4,Reichsgraf Butterstollen,3.19,100 Gramm,Packung 750 Gramm,aldi-nord,Nahrungsmittel,0.425
5,delikato Wein Branntwein Essig für den milden Salat-Genuss,0.39,100 ml,Flasche Kunststoff 1 L,aldi-nord,Nahrungsmittel,0.039
6,Gut Bio Spaghetti,0.75,100 Gramm,Beutel 500 Gramm,aldi-nord,Nahrungsmittel,0.15
7,Gut Bio Penne aus BIO-Vollkorn,0.75,100 Gramm,Beutel 500 Gramm,aldi-nord,Nahrungsmittel,0.15
8,Aldi Nord Kartoffelpüree 6 x 3  Portionen,1.59,100 Gramm,Packung 455 Gramm,aldi-nord,Nahrungsmittel,0.34900000000000003
9,Albona Genießerkuchen Marmor,2.99,100 Gramm,Packung 1000 Gramm,aldi-nord,Nahrungsmittel,0.29900000000000004
10,Reichsgraf Edelmarzipan Stollen,1.89,100 Gramm,Packung 600 Gramm,aldi-nord,Nahrungsmittel,0.315
11,Holstensegen Kartoffel Knuspertaschen Emmentaler Beachamel,1.49,100 Gramm,Packung 150 Gramm,aldi-nord,Nahrungsmittel,0.99
12,Reichsgraf Creme Kugeln Milchcreme,1.79,100 Gramm,Packung 175 Gramm,aldi-nord,Nahrungsmittel,1.02
13,Gut Bio Veggie Burger,0.55,100 Gramm,Packung 500 Gramm,aldi-nord,Nahrungsmittel,0.11000000000000001
14,Holstensegen Kartoffel Knuspertaschen Spinat Mozzarella,1.89,100 Gramm,Packung 600 Gramm,aldi-nord,Nahrungsmittel,0.315
15,Dr. Quendt Echter Dresdner Christstollen,6.99,100 Gramm,Packung 1000 Gramm,aldi-nord,Nahrungsmittel,0.6990000000000001
16,Dr. Oetker Original Pudding Vanille Geschmack,0.99,100 Gramm,Packung 148 Gramm,aldi-nord,Nahrungsmittel,0.67
17,Dr. Oetker Paradies Creme Sahne-Karamell-Geschmack,0.79,100 Gramm,Packung 76 Gramm,aldi-nord,Nahrungsmittel,1.04
18,"Aldi Nord 6 Knödel Halb & Halb, 6 Stück im Kochbeutel",0.75,100 Gramm,Packung 200 Gramm,aldi-nord,Nahrungsmittel,0.38
19,"Aldi Nord Parboiled Reis locker, körnig und kochfest",1.19,100 Gramm,Packung 1000 Gramm,aldi-nord,Nahrungsmittel,0.119
20,Bon-Ri Milchreis cremig & weichkochend,0.49,100 Gramm,Packung 500 Gramm,aldi-nord,Nahrungsmittel,0.098
21,Casa Morando Olivenöl nativ extra,3.59,100 ml,Flasche Glas 750 ML,aldi-nord,Nahrungsmittel,0.479
22,Dr. Oetker Paradies Creme Stracciatella,0.89,100 Gramm,Packung 66  Gramm,aldi-nord,Nahrungsmittel,1.35
23,Dr. Oetker Paradies Creme Schokolade,0.89,100 Gramm,Packung 73 Gramm,aldi-nord,Nahrungsmittel,1.22
24,Aldi Nord Feinste Baumkuchenspitzen mit Jamaica-Rum,1.69,100 Gramm,Packung 150 Gramm,aldi-nord,Nahrungsmittel,1.13
25,Aldi Nord Feinste Baumkuchenspitzen mit Amaretto Likör,1.69,100 Gramm,Packung 150 Gramm,aldi-nord,Nahrungsmittel,1.13
26,Aldi Nord Feinste Baumkuchenspitzen mit Orangen Likör,1.69,100 Gramm,Packung 150 Gramm,aldi-nord,Nahrungsmittel,1.13
27,Bel Royal / Aldi Nord Lübecker Edelmarzipan Herzen und Sterne,2.99,100 Gramm,Packung 250 Gramm,aldi-nord,Nahrungsmittel,1.2
