,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Delikato Tomaten Ketchup,0.79,100 ml,Dosierflasche 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.158
1,Delikato Würzige Remoulade Dosierflasche,0.95,100 ml,Dosierflasche 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.19
2,Delikato Salat Mayonnaise,0.79,100 ml,Glas 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.158
3,Maggi Würze Tischflasche,1.69,100 Gramm,Flasche Glas 250 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.68
4,Delikato Delikatess Majonnaise,0.95,100 ml,Flasche Kunststoff 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.19
5,delikato Tafel Meerrettich Scharf-Würzig zubereitet,0.59,100 Gramm,Glas 140 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.42
6,Casa Morando Pesto Calabrese Verde,1.19,100 Gramm,Glas 190 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.63
7,Casa Morando Pesto Calabrese,1.19,100 Gramm,Glas 190 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.63
8,Casa Morando Bolognese Sauce,0.79,100 ml,Glas 400 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.198
9,Genusskrone Düsseldorfer scharfer Senf,0.49,100 Gramm,Glas 200 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.25
10,Delikato Joghurt Dressing light,0.75,100 ml,Dosierflasche 250 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.3
11,Miracle Whip Balance,1.59,100 ml,Glas 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.318
12,Miracel Whip Klassik,1.59,100 ml,Glas 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.318
13,Genusskrone mittelscharfer Tafelsenf,0.49,100 Gramm,Glas 200 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.25
14,Pottkieker Fix für Geschnetzeltes Züricher Art,0.25,100 Gramm,Beutel 50 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.5
15,Pottkieker Fleisch Brühe 8 x 1/2 Liter,0.35,Preis pro Stück,Packung 8 Stück,aldi-nord,"Saucen, Suppen & Gewürze",0.04
16,Casa Morando Arrabbiata Sauce,0.79,100 ml,Glas 400 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.198
17,Ursi Dessert Sauce mit echter BourbonVanille,0.99,100 ml,Getränkekarton 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.2
18,delikato Sahne Meerrettich zubereitet,0.59,100 Gramm,Glas 135 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.44
19,Delikato Joghurt Salatdressing,0.99,100 ml,Flasche Glas 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.2
20,Delikato Sylter Art Salatdressing,0.99,100 ml,Flasche Glas 500 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.2
21,Ofterdinger Aldi Guacamole Avocadocreme scharf,1.79,100 Gramm,Becher 150 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",1.19
22,Ofterdinger Aldi Guacamole Avocadocreme mild,1.79,100 Gramm,Becher 150 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",1.19
23,Gut Bio Citrovin Zitrone,0.49,100 Gramm,Packung 200 Gramm,aldi-nord,"Saucen, Suppen & Gewürze",0.25
24,Heiden Düsseldorfer Senf scharf,0.49,100 ml,Glas 200 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.25
25,Delikato Feine Sauce Sauce Hollandaise,0.79,100 ml,Getränkekarton 300 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.26
26,Delikato French Dressing,0.69,100 ml,Dosierflasche 250 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.28
27,la finesse Gulaschsuppe,0.89,100 ml,Dose 400 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.223
28,Delikato Knoblauch Sauce,0.55,100 ml,Flasche Glas 250 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.22
29,amica pikante und kräftige Gulaschsuppe mit argentinischem Rindfleisch,0.69,100 ml,Dose 400 ML,aldi-nord,"Saucen, Suppen & Gewürze",0.173
30,Schneekoppe bio Kokosöl,2.69,100 ml,Glas 250 ML,aldi-nord,"Saucen, Suppen & Gewürze",1.08
