,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Ofterdinger Aldi Nord Pellkartoffelsalat mit Ei und Gurke,1.49,100 Gramm,Becher 1 KG,aldi-nord,Frische Lebensmittel aus der Kühlung,0.149
1,Ofterdinger Aldi Nord Kartoffelsalat mit Creme Fraiche,1.49,100 Gramm,Becher 1 KG,aldi-nord,Frische Lebensmittel aus der Kühlung,0.149
2,Meica Curry King,1.49,100 Gramm,Packung 220 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.68
3,Nordholmer Friesentopf Sahne Heringsfilets,1.39,100 Gramm,Becher 400 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.348
4,Ofterdinger Aldi Nord Delikatess Fleischsalat,0.79,100 Gramm,Schale 250 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.32
5,Ofterdinger Aldi Nord Frischer Weißkrautsalat,1.49,100 Gramm,Becher 1 KG,aldi-nord,Frische Lebensmittel aus der Kühlung,0.149
6,Rookhus Graved Lachs geräuchert in Scheiben,3.89,100 Gramm,Folie 150 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,2.59
7,Ofterdinger Shrimps in Dillsauce,1.79,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.9
8,Ofterdinger Shrimps in Cocktailsauce,1.79,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.9
9,Sölde Frikadellen,1.99,100 Gramm,Packung 500 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.398
10,Delikato Sahne Heringsfilets mit frischer Sahne,1.05,100 Gramm,Becher 400 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.263
11,Ofterdinger Brotaufstrich Alaska Seelachs,0.89,100 Gramm,Becher 150 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.59
12,Landbeck / Aldi Nord Curry Wurst,1.39,100 Gramm,Packung 220 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.63
13,Sölde Mini Frikadellen,1.99,100 Gramm,Packung 500 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.398
14,Gut Bio Frische Bio-Eier,1.59,Preis pro Stück,Packung 6 Stück,aldi-nord,Frische Lebensmittel aus der Kühlung,0.27
15,Rookhus Echter Räucherlachs,3.99,100 Gramm,Folie 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,2.0
16,Ofterdinger Geflügel Salat fruchtig,0.99,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.5
17,MAMA MANCINI Pizza al Gusto 400 g + 200 g zubereitete Tomatensauße,1.59,100 Gramm,Packung 600 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.265
18,Nordholmer Friesentopf Heringsfilets in Joghurtsoße mit Gartenkräutern,1.39,100 Gramm,Becher 400 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.348
19,Buttella Pflanzencreme,1.79,100 Gramm,Packung 175 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,1.02
20,Gut Bio Soja Schnitzel paniert rein pflanzlich,0.79,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.4
21,Ofterdinger Metzger Feiner Fleischsalat,0.79,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.4
22,Ofterdinger Metzger Kräuter Fleischsalat,1.39,100 Gramm,Vakuum 125 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,1.11
23,Delikato Forellenfilets Regenbogen Forellenfilets,1.19,100 Gramm,Rolle 540 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.22
24,Cuisinette Frischer Blätterteig,1.19,100 Gramm,Rolle 300 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.4
25,Cuisinette Frischer Flammkuchenteig,1.59,Preis pro Stück,Packung 10 Stück,aldi-nord,Frische Lebensmittel aus der Kühlung,0.16
26,Hofland Aldi Nord Eier aus Freilandhaltung Güteklasse A Gr. M / L,0.59,100 Gramm,Becher 250 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.24
27,Delikato Delikatess Fleischsalat,1.79,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.9
28,Ofterdinger Shrimps mit Früchten,1.19,100 Gramm,Rolle 500 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.238
29,Ofterdinger Waldorf Salat,0.99,100 Gramm,Becher 250 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.4
30,Rosenkohl,0.99,100 Gramm,Netz 750 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.132
31,Ofterdinger Shrimps in Knoblauchsauce,1.79,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.9
32,Kitchenette Chicken Sweet Sour,1.69,100 Gramm,Packung 400 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.42300000000000004
33,"milsa+ L. aktiflor Vanille, 4 x 125 g",0.99,100 Gramm,Packung 500 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.2
34,Rookhus Regenbogen Forellenfilets Natur,1.59,100 Gramm,Folie 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.8
35,Delikato Räucherlachs,3.19,100 Gramm,Packung 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,1.6
36,Pomfrin Pflanzenfett Frittierfett,1.59,100 Gramm,Stange 1 KG,aldi-nord,Frische Lebensmittel aus der Kühlung,0.159
37,Beyond Burger Vegane Burger,4.99,100 Gramm,Packung 227 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,2.2
38,Pottkieker Original vom Metzger Erbsen Eintopf,2.39,100 Gramm,Folie 900 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.266
39,Delikato Matjesfilets aalrauch gewürzt,1.15,100 Gramm,Packung 300 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.38
40,Nordholmer Fisch Buffet Alaska Seelachsschnitzel,1.29,100 Gramm,Becher 200 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.65
41,Hofland Aldi Nord Eier aus Bodenhaltung Güteklasse A Gr. M / L,1.19,Preis pro Stück,Packung 10 Stück,aldi-nord,Frische Lebensmittel aus der Kühlung,0.12
42,Wonnemayer Feinkost Salat Delikatess Fleischsalat,0.79,100 Gramm,Becher 400 Gramm,aldi-nord,Frische Lebensmittel aus der Kühlung,0.2
