,Name,Price,Price per,Unit,Packet Size,Supermarket
2905,"Alpenmark Bayerischer Weichkäse Würzig & Cremig, am Stück","2,89 €","0,83 €",Preis pro 100 Gramm,(Folie 350 Gramm),aldi-sued
2906,Fratellini Aldi Süd Sprizz Frizzante,"2,89 €","0,83 €",Preis pro 100 Gramm,(Folie 350 Gramm),aldi-sued
2907,alio Hand Geschirr Spülmittel Konzentrat Lemon,"1,59 €","2,12 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),aldi-sued
2908,Wonnemayer Feinkost Blattsalat Rohkost Mix,"0,75 €","1,50 €",Preis pro 1 Liter,(Flasche (Kunststoff) 500 ML),aldi-sued
2909,Grandessa Stieleis Mandel,"1,39 €","2,90 €",Preis pro 1 Liter,(Becher 480 ML),aldi-sued
2910,Grandessa Mini Piccola Eishörnchen Schoko,"1,99 €","0,28 €",Preis pro 100 ml,(Packung 720 ML),aldi-sued
2911,Grandessa Eiskalte Kiste Kontiki,"1,59 €","0,47 €",Preis pro 100 ml,(Packung 336 ML),aldi-sued
2912,Le Gusto Knusper Kroketten,"1,89 €","0,37 €",Preis pro 100 ml,(Packung 506 ML),aldi-sued
2913,Alpenmark Weichkäse Mini Torte Peperoni,"1,15 €","0,15 €",Preis pro 100 Gramm,(Beutel 750 Gramm),aldi-sued
2914,Alpenmark Weichkäse Mini Torte Knoblauch,"0,89 €","0,59 €",Preis pro 100 Gramm,(Folie 150 Gramm),aldi-sued
2915,Asia Spezialitäten 12 Sushi 240 g Sushi-Einwaage + 12 g Beilage,"0,89 €","0,59 €",Preis pro 100 Gramm,(Folie 150 Gramm),aldi-sued
2916,Nektarinen,"3,99 €","1,58 €",Preis pro 100 Gramm,(Packung 252 Gramm),aldi-sued
2917,Haribo Maoam Kracher,"1,99 €","1,99 €",Preis pro 1 KG,(Packung 1000 Gramm),aldi-sued
2918,"bio Spezialmehl Dinkelmehl Type 630, hell","1,99 €","1,99 €",Preis pro 1 KG,(Packung 1000 Gramm),aldi-sued
2919,"Be Light  Waffelhörnchen Joghurt-Zitrone, 6 Stück x 120 ml","1,49 €","2,07 €",Preis pro 1 Liter,(Packung 720 ML),aldi-sued
2920,"Be Light  Waffelhörnchen Joghurt-Erdbeer, 6 Stück x 120 ml","1,49 €","2,07 €",Preis pro 1 Liter,(Packung 720 ML),aldi-sued
2921,Il Tizio Caffe Coppa Italia Espresso,"1,39 €","2,90 €",Preis pro 1 Liter,(Becher 480 ML),aldi-sued
2922,Il Tizio Caffe Coppa Italia Latte Macchiato,"1,39 €","2,90 €",Preis pro 1 Liter,(Becher 480 ML),aldi-sued
2923,Il Tizio Caffe Coppa Italia Cappuccino,"0,69 €","0,28 €",Preis pro 100 Gramm,(Becher 250 Gramm),aldi-sued
2924,"Grandessa Big Nut American Peanut, 3 x100 ml","1,39 €","2,90 €",Preis pro 1 Liter,(Becher 480 ML),aldi-sued
2925,"Grandessa Big Nut Latte Macchiato, 3 x 100 ml","1,29 €","0,43 €",Preis pro 100 ml,(Packung 300 ML),aldi-sued
2926,"Aldi Süd Filetierte Lammrücken küchenfertig zubereitet , 4 Stück","1,29 €","0,43 €",Preis pro 100 ml,(Packung 300 ML),aldi-sued
2927,Aldi Süd Marinierte Putensteaks Curry,"6,99 €","17,48 €",Preis pro 1 KG,(Packung 400 Gramm),aldi-sued
2928,Bims Allesreiniger Konzentrat Classic,"6,79 €","6,79 €",Preis pro 1 KG,(Schale 1000 Gramm),aldi-sued
2929,Aldi Süd Dornfelder Rheinhessen/Pfalz QbA trocken,"0,89 €","0,89 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1000 ML),aldi-sued
2930,Friscodent Zahnbürsten 2-er weich,"1,79 €","2,39 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),aldi-sued
2931,Friscodent Zahnbürsten 2-er medium,"0,65 €","0,33 €",Preis pro Stück,(Packung 2 Stück),aldi-sued
2932,Friscodent Zahnbürsten 2-er hart,"0,65 €","0,33 €",Preis pro Stück,(Packung 2 Stück),aldi-sued
2933,Unser Kerniges / Aldi Süd Vollkornbrot,"0,65 €","0,33 €",Preis pro Stück,(Packung 2 Stück),aldi-sued
2934,Aldi Süd Leberwurst grob,"0,49 €","0,98 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
2935,Aldi Süd Leberwurst fein,"0,75 €","0,50 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2936,Aldi Süd Paprika Leberwurst,"0,75 €","0,50 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2937,Aldi Süd Dip Sour Cream,"0,75 €","0,50 €",Preis pro 100 Gramm,(Packung 150 Gramm),aldi-sued
2938,Aldi Süd Dip Kräuterdip,"0,79 €","0,90 €",Preis pro 100 Gramm,(Packung 88 Gramm),aldi-sued
2939,Aldi Süd Dip Zaziki,"0,69 €","0,28 €",Preis pro 100 Gramm,(Becher 250 Gramm),aldi-sued
2940,"Knusperone Knuspy Müsli-Riegel Late Macchiato, 8 Stück","0,69 €","0,28 €",Preis pro 100 Gramm,(Becher 250 Gramm),aldi-sued
2941,Aldi Süd Ciabatta Kräutern - zum fertigbacken,"1,09 €","0,55 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2942,Mario Collina 2007 Pinot Grigio DOC Italien,"0,69 €","0,23 €",Preis pro 100 Gramm,(Beutel 300 Gramm),aldi-sued
2943,Mario Collina 2007 Custoza DOC Italien,"2,69 €","3,59 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),aldi-sued
2944,Merlot Vin de Pay d Oc Italien 2007,"2,59 €","3,45 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),aldi-sued
2945,Be light Aldi Süd Cornflakes fettarm,"1,49 €","1,99 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),aldi-sued
2946,Be light Aldi Süd Choco Rice fettarm,"1,09 €","2,18 €",Preis pro 1 KG,(Packung 500 Gramm),aldi-sued
2947,alio Aldi Süd Klarspüler Classic,"1,09 €","2,91 €",Preis pro 1 KG,(Packung 375 Gramm),aldi-sued
2948,alio Spülmaschinen Deo 3 Stück,"0,99 €","0,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 1 L),aldi-sued
