,Name,Price,Price per,Unit,Packet Size,Supermarket
2906,"Müller Müllermilch Coffee Cappuccino, 1.5% Fett","0,75 €","0,30 €",Preis pro 100 Gramm,(Flasche (Kunststoff) 250 Gramm),lidl
2907,Frosta Paella,"3,33 €","5,12 €",Preis pro 1 KG,"(Packung 650 Gramm, + 30% mehr Inhalt)",lidl
2908,Schwartau Extra Rote Johannisbeere,"1,39 €","1,45 €",Preis pro 100 Gramm,(Packung 96 Gramm),lidl
2909,Wagner La Pizza Rusticale Salame Cipolla,"1,79 €","5,26 €",Preis pro 1 KG,(Glas 340 Gramm),lidl
2910,Wagner La Pizza Rusticale Peperoncini Piccante,"1,99 €","0,57 €",Preis pro 100 Gramm,(Packung 350 Gramm),lidl
2911,Wagner Big Pizza Texas,"1,99 €","0,57 €",Preis pro 100 Gramm,(Packung 350 Gramm),lidl
2912,Nescafe Xpress Iced Latte,"1,88 €","4,48 €",Preis pro 1 KG,(Packung 420 Gramm),lidl
2913,Bürger Schupfnudeln Original schwäbisch,"1,29 €","0,52 €",Preis pro 100 ml,(Dose (Weißblech) 250 ML),lidl
2914,Gaggli Frischeier Nudeln Hörnchen,"1,79 €","1,79 €",Preis pro 1 KG,(Packung 1000 Gramm),lidl
2915,Gaggli Frischeier Nudeln Makkaroni,"1,19 €","4,76 €",Preis pro 1 KG,(Packung 250 Gramm),lidl
2916,Nescafe Cafe au Lait,"1,19 €","4,76 €",Preis pro 1 KG,(Packung 250 Gramm),lidl
2917,Mondamin Fix Soßenbinder dunkel,"2,99 €","1,20 €",Preis pro 100 Gramm,(Dose 250 Gramm),lidl
2918,"Müller Joghurt mit der Ecke Schoko Stars, 3.8 % Fett","0,99 €","0,36 €",Preis pro 100 Gramm,"(Packung 275 Gramm, + 10 % mehr)",lidl
2919,"Müllers Frucht Buttermilch Zitrone, 1% Fett","0,49 €","0,33 €",Preis pro 100 Gramm,(Becher 150 Gramm),lidl
2920,Herta Wacholderschinken Westfälische Art,"0,59 €","1,18 €",Preis pro 1 KG,(Becher 500 Gramm),lidl
2921,Herta Saftiger Genuss Saftschinken gegart,"0,99 €","0,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),lidl
2922,Nestle Yes Caramel 3-er 3 x 32 g,"1,29 €","1,03 €",Preis pro 100 Gramm,"(Packung 125 Gramm, 5 Scheiben )",lidl
2923,Bahlsen Nostalgie - Dose,"2,49 €","0,62 €",Preis pro 100 ml,(Flasche (Glas) 400 ML),lidl
