,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Landbeck / Aldi Nord Bockwurst im zarten Saitling,5.49,100 Gramm,Dose 1650 Gramm,aldi-nord,Konserven,0.333
1,Gut Drei Eichen Hausmacher Jagdwurst,1.79,100 Gramm,Glas 250 Gramm,aldi-nord,Konserven,0.72
2,Pottkieker Erbsen Eintopf mit geräuchertem Schweinebauch,0.99,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.124
3,Pottkieker Hühnersuppentopf mit Muschelnudeln,0.85,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.10600000000000001
4,Pottkieker Texas Eintopf mit Chilibohnen und Paprika - feurig,0.85,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.10600000000000001
5,Golden Fruit Apfelmus,0.55,100 Gramm,Getränkekarton 710 Gramm,aldi-nord,Konserven,0.077
6,"Landbeck / Aldi Nord Wiener Würstchen im zarten Saitling, 6 Stück x 50g",2.49,100 Gramm,Dose 300 Gramm,aldi-nord,Konserven,0.8300000000000001
7,Andi Bratheringsfilets,0.99,100 Gramm,Dose 325 Gramm,aldi-nord,Konserven,0.305
8,"Andi Geteilte Heringsfilets in Tomaten-Sauce, geteilt",0.75,100 Gramm,Dose 200 Gramm,aldi-nord,Konserven,0.38
9,Traders Joes Wild Preiselbeeren Skandinavisch,1.09,100 Gramm,Glas 400 Gramm,aldi-nord,Konserven,0.273
10,Fjördens Bratheringsfilets,1.19,100 Gramm,Dose 325 Gramm,aldi-nord,Konserven,0.366
11,Kings Crown / Aldi Nord Champignons 1. Wahl - geschnitten,0.79,100 ml,Glas 280 Gramm,aldi-nord,Konserven,0.0
12,Ocean Steamer Sardinen in Sonnenblumenöl mit Chili,0.75,100 Gramm,Dose 125 Gramm,aldi-nord,Konserven,0.6
13,Gut Drei Eichen Hausmacher Leberwurst grob,1.79,100 Gramm,Glas 250 Gramm,aldi-nord,Konserven,0.72
14,Pottkieker Beste Suppentöpfe Möhren Topf mit Fleischbällchen,1.69,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.211
15,Pottkieker Beste Suppentöpfe Nudel Topf mit Fleischbällchen,1.69,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.211
16,Gut Drei Eichen Hausmacher Leberwurst fein,1.79,100 Gramm,Glas 250 Gramm,aldi-nord,Konserven,0.72
17,Pottkieker Grüne Bohnentopf mit Fleischbällchen,1.69,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.211
18,Kings Crown Passierte Tomaten,0.35,100 Gramm,Getränkekarton 500 Gramm,aldi-nord,Konserven,0.06999999999999999
19,"Golden Fruit Schattenmorellen entsteint, gezuckert",0.79,100 Gramm,Glas 680 Gramm,aldi-nord,Konserven,0.11599999999999999
20,Fjördens Heringsfilet in Tomaten Creme,0.89,100 Gramm,Dose 200 Gramm,aldi-nord,Konserven,0.45
21,Kings Crown / Aldi Nord Hojiblanca schwarze Oliven entsteint,0.69,100 ml,Glas 370 ML,aldi-nord,Konserven,0.19
22,Klostergarten Gurkenhappen schlesische Art,0.59,100 Gramm,Glas 530 Gramm,aldi-nord,Konserven,0.11100000000000002
23,Kings Crown / Aldi Nord Champignons 1. Wahl - ganze Köpfe,0.89,100 Gramm,Dose 400 Gramm,aldi-nord,Konserven,0.223
24,Kings Crown Junge Erbsen extra fein,0.49,100 Gramm,Dose 400 Gramm,aldi-nord,Konserven,0.123
25,Kings Crown Tomaten fein gehackt in Tomatensaft,0.45,100 ml,Dose 400 Gramm,aldi-nord,Konserven,0.0
26,Pottkieker Deftige Mahlzeit Sauerkraut Topf mit Kasselerschulter und Kartoffeln,1.39,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.174
27,"Kings Crown ganze Tomaten im eigenen Saft, geschält",0.55,100 ml,,aldi-nord,Konserven,0.065
28,Ocean Steamer Sardinen in Sonnenblumenöl mit Zitrone,0.55,100 Gramm,Dose 125 Gramm,aldi-nord,Konserven,0.44
29,"Traders Joes Pfirsiche Halbe Frucht, gezuckert",1.19,100 Gramm,Dose 820 Gramm,aldi-nord,Konserven,0.145
30,Ocean Steamer Thunfisch Filets geschnittene Filets in Sonnenblumenöl,1.29,100 Gramm,Dose 195 Gramm,aldi-nord,Konserven,0.66
31,"Könecke Wiener Würstchen im zarten Saitling, 6 Stück",2.09,100 Gramm,Dose 300 Gramm,aldi-nord,Konserven,0.697
32,Fjördens Feines Lachsfilet in Senf Dijon Sauce,1.99,100 Gramm,Dose 200 Gramm,aldi-nord,Konserven,1.0
33,"Golden Fruit Sauerkirschen entsteint, gezuckert",1.39,100 ml,Glas 720 ML,aldi-nord,Konserven,0.193
34,"fitfrutti Fruchtmus Apfel Erdbeere, 4 x 100 g",1.49,100 Gramm,Packung 400 Gramm,aldi-nord,Konserven,0.373
35,fitfrutti Fruchtmus Apfel Banane,1.49,100 Gramm,Packung 400 Gramm,aldi-nord,Konserven,0.373
36,Golden Fruit Fruchtcocktail Sommerlich,1.69,100 Gramm,Packung 480 Gramm,aldi-nord,Konserven,0.352
37,Klostergarten Weinsauerkraut mild,0.39,100 Gramm,Beutel 500 Gramm,aldi-nord,Konserven,0.078
38,Rio Plata Brasilianisches Corned Beef,1.19,100 Gramm,Dose 340 Gramm,aldi-nord,Konserven,0.35
39,Ocean Steamer Thunfisch Filets im eigenen Saft und Aufguss,1.29,100 Gramm,Dose 195 Gramm,aldi-nord,Konserven,0.66
40,Aldi Nord Champignons 3. Wahl - geschnitten,0.49,100 Gramm,Dose 290 Gramm,aldi-nord,Konserven,0.17
41,Pottkieker Frikadellentopf mit Kartoffeln und Karotten,1.39,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.174
42,Greece Pfefferonen,0.99,100 Gramm,Beutel 500 Gramm,aldi-nord,Konserven,0.2
43,Golden Fruit Fruchtcocktail Klassisch,1.69,100 Gramm,Packung 480 Gramm,aldi-nord,Konserven,0.352
44,Kings Crown / Aldi Nord Manzanilla Grüne Oliven entsteint,0.69,100 ml,Glas 370 ML,aldi-nord,Konserven,0.19
45,"Könecke Geflügelfleischwürstchen 6 Stück, im Saitling",1.69,100 Gramm,Glas 550 Gramm,aldi-nord,Konserven,0.31
46,Pottkieker Cevapcici Reistopf mit Paprika,1.39,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.174
47,Freihofer Gourmet Pfirsiche mit Mandel- & Amarettogeschmack,1.59,100 Gramm,Glas 550 Gramm,aldi-nord,Konserven,0.28900000000000003
48,Freihofer Gourmet Pfirsiche mit Vanille,1.59,100 Gramm,Glas 550 Gramm,aldi-nord,Konserven,0.28900000000000003
49,Pottkieker Beste Suppentöpfe Erbsen Topf mit Fleischbällchen,1.69,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.211
50,Könecke 5 Bockwürstchen 5 Stück,0.95,100 Gramm,Glas 380 Gramm,aldi-nord,Konserven,0.25
51,Klostergarten / Aldi Nord Cornichons,0.99,100 ml,Glas 720 ML,aldi-nord,Konserven,0.14
52,Halberstädter Harzer Hexenbeißer 12 Stück im Naturdarm,0.45,100 Gramm,Glas 680 Gramm,aldi-nord,Konserven,0.066
53,"Klostergarten Delikateß Rotkohl küchenfertig, gewürzt mit feinen Zutaten",0.65,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.081
54,Pottkieker Beste Suppentöpfe Erbsen Topf mit Fleischbällchen,1.39,100 Gramm,Dose 800 Gramm,aldi-nord,Konserven,0.174
55,Pottkieker Deftige Mahlzeit Frikadellen Topf mit Kartoffeln und Karotten,0.69,100 Gramm,Dose 580 ml,aldi-nord,Konserven,0.0
