,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Iglo Fischstäbchen,3.49,100 Gramm,"15er, Packung 450 Gramm",aldi-nord,Tiefkühlkost,0.776
1,"Mama Mancini Pizza 3-er Pack Edelsalami, 3 x 350 g",2.59,100 Gramm,Packung 1050 Gramm,aldi-nord,Tiefkühlkost,0.25
2,Iglo Schlemmer-Filet Classic a la Bordelaise,3.19,100 Gramm,Packung 380 Gramm,aldi-nord,Tiefkühlkost,0.8390000000000001
3,Iglo Rahmspinat der mit dem Blubb,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,Tiefkühlkost,0.252
4,Eskimo / Aldi Nord Fischstäbchen,1.99,100 Gramm,Packung 450 Gramm,aldi-nord,Tiefkühlkost,0.442
5,Schnell und Lecker / Aldi Nord Hühnerfrikassee mit zarten Gemüse,1.39,100 Gramm,Packung 1000 Gramm,aldi-nord,Tiefkühlkost,0.13899999999999998
6,Holstensegen Wellenschnitt Pommes,1.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
7,Eskimo / Aldi Nord Knusperfilet Backteig,1.19,100 Gramm,Packung 1000 Gramm,aldi-nord,Tiefkühlkost,0.119
8,Holstensegen Pommes frites,5.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,1.498
9,"Trader Joes Lammsteaks mariniert, 5 - 6 Stück",2.29,100 Gramm,Packung 320  Gramm,aldi-nord,Tiefkühlkost,0.72
10,Original Wagner Steinofen Pizza Salami,2.49,100 Gramm,Karton 320 Gramm,aldi-nord,Tiefkühlkost,0.78
11,Dr. Oetker Ristorante Pizza Salame,2.29,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,0.76
12,Wagner herzhafter Flammkuchen Unser Original,1.29,100 Gramm,Packung 750 Gramm,aldi-nord,Tiefkühlkost,0.172
13,Holstensegen Knusper Rösti-Ecken,0.35,100 Gramm,Packung 450 Gramm,aldi-nord,Tiefkühlkost,0.078
14,Golden Seafood Alaska Seelachsfilet natur,4.99,100 Gramm,Packung 1000 Gramm,aldi-nord,Tiefkühlkost,0.499
15,Original Wagner Steinofen Pizza Speciale,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,Tiefkühlkost,0.65
16,Dr. Oetker Ristorante Pizza Tonno,2.49,100 Gramm,Packung 355 Gramm,aldi-nord,Tiefkühlkost,0.701
17,Dr. Oetker Ristorante Pizza Hawaii,2.49,100 Gramm,Packung 355 Gramm,aldi-nord,Tiefkühlkost,0.7
18,Freihofer Gourmet Mandelbällchen,4.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,1.248
19,Trader Joes Rindersteaks mariniert,1.99,100 ml,Packung 180 ML,aldi-nord,Tiefkühlkost,1.11
20,Freihofer Gourmet Eis Pralines,1.29,100 Gramm,Beutel 750 Gramm,aldi-nord,Tiefkühlkost,0.172
21,Holstensegen Knusper Kroketten,4.29,100 Gramm,Packung 250 Gramm,aldi-nord,Tiefkühlkost,1.72
22,"Golden Seafood Lachsfilet natur, 2 Filets",2.89,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.5780000000000001
23,Jacks Farm Hähnchen Cordon Bleu,4.99,100 Gramm,Beutel 750 Gramm,aldi-nord,Tiefkühlkost,0.67
24,Golden Seafood Nordsee Schollen,5.99,100 Gramm,Packung 200 Gramm,aldi-nord,Tiefkühlkost,2.995
25,Freihofer Gourmet Tiefsee Scallops,1.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
26,Fishfiness Schlemmerfilet Broccoli,1.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
27,Fishfiness Schlemmerfilet Bordelaise,2.79,100 Gramm,Packung 250 Gramm,aldi-nord,Tiefkühlkost,1.12
28,Original Wagner Steinofen Pizza Mozzarella,2.29,100 Gramm,Packung 350 Gramm,aldi-nord,Tiefkühlkost,0.65
29,Dr. Oetker Die Ofenfrische Pizza Salami,2.69,100 Gramm,Packung 380 Gramm,aldi-nord,Tiefkühlkost,0.71
30,"Jacks Farm Deutsches Brathähnchen HKL A, bratfertig, tiefgefroren",3.49,100 Gramm,Folie 1400 Gramm,aldi-nord,Tiefkühlkost,0.24900000000000003
31,Golden Seafood Pangasius Filets,2.99,100 Gramm,Beutel 500 Gramm,aldi-nord,Tiefkühlkost,0.5980000000000001
32,Eskimo / Aldi Nord Schlemmerfilet Bordelaise mit würziger Auflage,1.69,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.42300000000000004
33,Gut Bio Blattspinat erntefrisch tiefgefroren,1.85,100 Gramm,Beutel 750 Gramm,aldi-nord,Tiefkühlkost,0.24700000000000003
34,Gut Bio Kaiser Gemüse erntefrisch tiefgefroren,1.85,100 Gramm,Beutel 750 Gramm,aldi-nord,Tiefkühlkost,0.24700000000000003
35,Dr. Oetker la MIA GRANDE Margherita,2.85,100 Gramm,Karton 360 Gramm,aldi-nord,Tiefkühlkost,0.79
36,Dr. Oetker la MIA GRANDE Salame Piccante,2.85,100 Gramm,Karton 380 Gramm,aldi-nord,Tiefkühlkost,0.75
37,Dr. Oetker la MIA GRANDE Tonno e Cipolle,2.85,100 Gramm,Karton 415 Gramm,aldi-nord,Tiefkühlkost,0.687
38,Ernst Wagners Original Pizza Diavola,2.99,100 Gramm,Packung Ernst Wagners,aldi-nord,Tiefkühlkost,0.6950000000000001
39,Fishfinesse Pazifische Schollen Filets Dijon Senf,2.99,100 Gramm,Packung 325 Gramm,aldi-nord,Tiefkühlkost,0.92
40,Jacks Farm Hähnchen Schenkel Pfanne gewürzt,2.99,100 Gramm,Packung 1 KG,aldi-nord,Tiefkühlkost,0.29900000000000004
41,Mama Mancini Pizza Margherita,1.99,100 Gramm,Packung 900 Gramm,aldi-nord,Tiefkühlkost,0.22
42,Höffner Die Landküche Grünkohl Pfanne,1.99,100 Gramm,Beutel 600 Gramm,aldi-nord,Tiefkühlkost,0.33199999999999996
43,Jacks Farm Hähnchen Brustfilet Teilstück,2.99,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.5980000000000001
44,Golden Seafood Rotbarschfilet,6.99,100 Gramm,Beutel 1000 Gramm,aldi-nord,Tiefkühlkost,0.6990000000000001
45,Gut Bio Junge Erbsen erntefrisch tiefgefroren,1.89,100 Gramm,Packung 750 Gramm,aldi-nord,Tiefkühlkost,0.252
46,Aldi Nord Baguettes Schinken,1.29,100 Gramm,"Packung 500 Gramm, 4 x 125g",aldi-nord,Tiefkühlkost,0.26
47,Freihofer Gourmet Knusper Ente,3.59,100 Gramm,Packung 320 Gramm,aldi-nord,Tiefkühlkost,1.12
48,Freihofer Gourmet Zanderfilet,4.49,100 Gramm,Packung 450 Gramm,aldi-nord,Tiefkühlkost,0.998
49,Vossko Hähnchenmedaillons Hawaii,3.39,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.678
50,Bachmeier Bayerische Brezen,1.19,100 Gramm,Karton 850 Gramm,aldi-nord,Tiefkühlkost,0.13999999999999999
51,Ami Hafermast polnische Gänsekeule,6.79,100 Gramm,Folie 850 Gramm,aldi-nord,Tiefkühlkost,0.799
52,Eskimo / Aldi Nord Knusperfilet Tomate Mozzarella,1.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
53,"Jacks Farm Hähnchen Medaillons Elsässer Art, 4-5 Stück",3.99,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.798
54,"Mama Mancini Pizzeria Funghi Funghi, 2 x 365 g",2.59,100 Gramm,Packung 730 Gramm,aldi-nord,Tiefkühlkost,0.355
55,"Mama Mancini Pizzeria Quattro Formaggi Quattro Formaggi, 2 x 365 g",2.59,100 Gramm,Packung 730 Gramm,aldi-nord,Tiefkühlkost,0.355
56,"Jacks Farm Hähnchen Medaillons Supreme, 4-5 Stück",3.99,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.798
57,"Mama Mancini Pizzeria Tonno Tonno, 2 x 365 g",2.59,100 Gramm,Packung 730 Gramm,aldi-nord,Tiefkühlkost,0.355
58,"Mama Mancini Pizzeria Hawaii Hawaii, 2 x 365 g",2.59,100 Gramm,Packung 730 Gramm,aldi-nord,Tiefkühlkost,0.35
59,"Jacks Farm Hähnchen Medaillons Hawaii, 4-5 Stück",3.99,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.798
60,Aldi Nord Bayerische Stangerl,1.19,100 Gramm,Packung 800 Gramm,aldi-nord,Tiefkühlkost,0.149
61,Jacks Farm Hähnchen Chicken Chips,2.49,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
62,Golden Seafood Bio Lachs,5.99,100 Gramm,Packung 200 Gramm,aldi-nord,Tiefkühlkost,3.0
63,Mama Mancini Holzofen Pizza Italienisch Fantasia,1.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
64,Gourmet Pizza aus dem Holzofen Pomodoro Mozzarella Pesto,2.49,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.623
65,Gourmet Gänsebrust Filet,5.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,1.3980000000000001
66,Gourmet Finest Cucine Zanderfilets,2.29,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.458
67,Klaus / Aldi Nord Chickn Chips Hähnchen,4.99,100 Gramm,Packung 250 Gramm,aldi-nord,Tiefkühlkost,2.0
68,Freihofer Gourmet Kalbsmedaillons,8.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,2.148
69,"Gut Bio Rindersteaks Natur, 2 Stück",1.19,100 Gramm,Karton 818 Gramm,aldi-nord,Tiefkühlkost,0.145
70,Bäcker Bachmeier Bayerische Laugenstangerl,1.29,100 Gramm,"Packung 500 Gramm, 4 x 125g",aldi-nord,Tiefkühlkost,0.26
71,All Seasons Rahm Spinat,0.45,100 Gramm,Packung 450 Gramm,aldi-nord,Tiefkühlkost,0.1
72,"Golden Seafood / Aldi Nord Scampi Spieße Riesengarnelen, 5 Spieße",3.99,100 Gramm,Packung 440 Gramm,aldi-nord,Tiefkühlkost,0.907
73,"Gut Bio Rindersteaks mit feiner Pfeffermarinade, 2 Stück",8.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,2.148
74,Eskimo / Aldi Nord Boeuf Stroganoff,1.99,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.398
75,Pfifferlinge blanchiert,3.29,100 Gramm,Beutel 300 Gramm,aldi-nord,Tiefkühlkost,1.1
76,Gut Bio Rumpsteaks Natur aus dem Roastbeef,8.59,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,2.863
77,Gourmet de Mer / Aldi Nord King Prawns Riesengarnelenschwänze provencal,3.99,100 Gramm,Packung 250 Gramm,aldi-nord,Tiefkühlkost,1.6
78,Gourmet de Mer / Aldi Nord King Prawns Riesengarnelenschwänze,3.99,100 Gramm,Packung 250 Gramm,aldi-nord,Tiefkühlkost,1.6
79,Fischfinesse Kap Seehechtfilets Lemon Pepper & Knoblauch,3.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.898
80,Freihofer Gourmet Lammkeulenbraten,9.99,100 Gramm,Packung 600 Gramm,aldi-nord,Tiefkühlkost,1.6649999999999998
81,Conradl Kuchen Party 12 Mini Schnecken,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,0.66
82,Heidegold Junge Ente,6.99,100 Gramm,Folie 2.2 KG,aldi-nord,Tiefkühlkost,0.318
83,Gourmet Finest Cuisine Steinbeisser Filetportionen,1.99,100 Gramm,Packung 360 Gramm,aldi-nord,Tiefkühlkost,0.55
84,"Casa Morando Picco Belli Tomate-Pesto, 12 x 30 g",2.76,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.5519999999999999
85,"Ami Hafermast Gänsebrust mit Knochen A, bratfertig gefroren",6.74,100 Gramm,Folie 900 Gramm,aldi-nord,Tiefkühlkost,0.749
86,Breffod Kaninchenkeulen aus Bodenhaltung,3.99,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.798
87,Lindtmanns Rinder Geschnetzeltes,1.49,100 ml,Dose 1000 ML,aldi-nord,Tiefkühlkost,0.149
88,Lindtmanns Puszta Töpfchen,5.49,100 Gramm,Packung 360 Gramm,aldi-nord,Tiefkühlkost,1.53
89,Mucci Eiskrem Premium Eis Schokolade,2.49,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,0.83
90,"Aldi Nord Wiener Kalbschnitzel paniert, 2 Stück",5.99,100 Gramm,Packung 1035 Gramm,aldi-nord,Tiefkühlkost,0.579
91,"Freihofer Gourmet Blätterteig Minis Garnele & Tomate, 15 x 20 g",3.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.898
92,Golden Seafood Regenbogen Forelle,3.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.898
93,Fishfinesse Kap Seehechtfilets Lemon Pepper & Knoblauch,2.99,100 Gramm,Packung 325 Gramm,aldi-nord,Tiefkühlkost,0.92
94,Fishfinesse Kap Seehechtfilets Natur,1.59,100 ml,Packung 360 ML,aldi-nord,Tiefkühlkost,0.442
95,Fishfinesse Pazifische Schollen Filets Finkenwerder Art,1.59,100 ml,Packung 360 ML,aldi-nord,Tiefkühlkost,0.442
96,Mucci Vulcano Haselnuss,1.39,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.348
97,Mucci Vulcano Vanille-Kakao,1.39,100 Gramm,Packung 750 Gramm,aldi-nord,Tiefkühlkost,0.185
98,Farm Freude Deutsches Brathähnchen,2.79,100 Gramm,Folie 1.4 KG,aldi-nord,Tiefkühlkost,0.199
99,Golden Seafood Pazifische Kabeljau Filets,6.49,100 Gramm,Beutel 1000 Gramm,aldi-nord,Tiefkühlkost,0.649
100,Conradl Kuchen Party 24 Mini Berliner,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,0.66
101,Die Schnitzelmacher Mini Knusper Cordon Bleu,2.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.648
102,Die Schnitzelmacher Mini Knusper Schnitzel,2.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.648
103,Ben & Jerrys Ice Cream Cookie Dough,4.99,100 ml,Becher 500 ML,aldi-nord,Tiefkühlkost,0.998
104,Ernst Wagners Original Pizza Pizza Margherita,2.99,100 Gramm,Packung 350 Gramm,aldi-nord,Tiefkühlkost,0.85
105,Eskimo / Aldi Nord Butter Gemüse,1.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.398
106,Aldi Nord Backfisch 2-er mit Kräutersauce,1.79,100 Gramm,Packung 750 Gramm,aldi-nord,Tiefkühlkost,0.24
107,Aldi Nord Marinierte Rindersteaks 2 Steaks,2.59,100 Gramm,Beutel 750 Gramm,aldi-nord,Tiefkühlkost,0.34500000000000003
108,Freihofer Gourmet Eis Zimtsterne 5 x 80 ml,1.59,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.398
109,All Seasons Pfannengemüse Californische Art,1.39,100 Gramm,Packung 750 Gramm,aldi-nord,Tiefkühlkost,0.185
110,Jacks Farm Hähnchen Chicken & Dip Sweet Chili Sauce,2.99,100 Gramm,Packung 530 Gramm,aldi-nord,Tiefkühlkost,0.564
111,Freihofer Gourmet Garnelenkranz mit Sauce,3.99,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,1.33
112,"Casa Morando Steinofen-Pizza Speciale, 2 x 350 g",2.69,100 Gramm,Packung 700 Gramm,aldi-nord,Tiefkühlkost,0.38
113,Golden Fruit Erdbeeren,2.19,100 Gramm,Beutel 750 Gramm,aldi-nord,Tiefkühlkost,0.292
114,Aldi Nord Bayerische Brezen zum Fertigbacken,1.19,100 Gramm,Packung 850 Gramm,aldi-nord,Tiefkühlkost,0.13999999999999999
115,Conradl Kuchen Party 10 Mini Apfelkissen,2.19,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,0.73
116,Almare Pazifik Wildlachsfilet 2 Stück,2.89,100 Gramm,Packung 250 Gramm,aldi-nord,Tiefkühlkost,1.16
117,Gourmet Finest Cusine Eis-Tannenbäume,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,Tiefkühlkost,0.663
118,Eskimo / Aldi Nord Seelachs Filets im Backteig,2.49,100 Gramm,Packung 500 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
119,Klaus / Aldi Nord Hähnchen Cordon Bleu,2.69,100 Gramm,Packung 700 Gramm,aldi-nord,Tiefkühlkost,0.38
120,"Casa Morando Steinofen-Pizza Schinken , 2 x 350 g",2.69,100 Gramm,Packung 700 Gramm,aldi-nord,Tiefkühlkost,0.384
121,"Casa Morando Steinofen-Pizza 4-Käse, 2 x 350 g",1.99,100 Gramm,Packung 400 Gramm,aldi-nord,Tiefkühlkost,0.49800000000000005
