,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
0,Hallbauer / Aldi Nord Frischkäse,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,Molkereiprodukte,0.33
1,Ursi Mon Dessert Double Choc,0.39,100 Gramm,Becher 175 Gramm,aldi-nord,Molkereiprodukte,0.22
2,Milsani H-Schlagsahne 30% Fett,0.63,100 Gramm,Pack 200 Gramm,aldi-nord,Molkereiprodukte,0.32
3,"Milsani Frische fettarme Milch 1,5 % Fett",0.63,100 ml,Getränkekarton 1 L,aldi-nord,Molkereiprodukte,0.063
4,Milsani Sprühfertige Schlagsahne mit Zucker,1.19,100 ml,Sprühflasche 250 ML,aldi-nord,Molkereiprodukte,0.48
5,Buttella Looping Halbfett Margarine nur 39% Fett,0.69,100 Gramm,Becher 500 Gramm,aldi-nord,Molkereiprodukte,0.13799999999999998
6,Hofburger Bayerischer Alpenweichkäse mild & Cremig,2.89,100 Gramm,Folie 350 Gramm,aldi-nord,Molkereiprodukte,0.83
7,Milsani Aldi Nord Schlagsahne 30 % Fett,0.63,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.32
8,Delikata Frühstücks Margarine,0.65,100 Gramm,Becher 500 Gramm,aldi-nord,Molkereiprodukte,0.13
9,Hofburger Bayerischer Alpenweichkäse Würzig & Cremig,2.89,100 Gramm,Folie 350 Gramm,aldi-nord,Molkereiprodukte,0.83
10,Ursi lockerer Sahne Pudding Schoko,0.35,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.18
11,Flora Danica Frischkäse sahnig-cremig,0.99,100 Gramm,Packung 300 Gramm,aldi-nord,Molkereiprodukte,0.33
12,Lisani Chester Schmelzkäse,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,Molkereiprodukte,0.4
13,"Milsani Haltbare fettarme H-Milch 1,5% Fett",0.63,100 ml,Getränkekarton 1 L,aldi-nord,Molkereiprodukte,0.063
14,"Milsani H-Vollmilch 3,5% Fett",0.71,100 ml,Getränkekarton 1 L,aldi-nord,Molkereiprodukte,0.071
15,Milsani Deutsche Markenbutter,1.39,100 Gramm,Packung 250 Gramm,aldi-nord,Molkereiprodukte,0.56
16,Ursi Schoko Drink,0.49,100 ml,Getränkekarton 0.5 L,aldi-nord,Molkereiprodukte,0.098
17,Ursi Schoko Drink fettarm,0.49,100 ml,Getränkekarton 0.5 L,aldi-nord,Molkereiprodukte,0.098
18,Kerrygold Original Irische Butter mildgesäuert,2.39,100 Gramm,Packung 250  Gramm,aldi-nord,Molkereiprodukte,0.96
19,Milsani Creme fraiche classic,0.67,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.34
20,"Milsani Fettarmer Joghurt mild Natur, 1,5% Fett",0.49,100 Gramm,Becher 500 Gramm,aldi-nord,Molkereiprodukte,0.098
21,Ursi Sahne Milchreis Classic,0.29,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.15
22,"Gut Bio Joghurt Pur 3,5% Fett",0.35,100 Gramm,Becher 150 Gramm,aldi-nord,Molkereiprodukte,0.233
23,"Milsani laktosefreie fettarme H-Milch 1,5% Fett",0.95,100 ml,Getränkekarton 1 L,aldi-nord,Molkereiprodukte,0.095
24,Ursi lockerer Sahne Pudding Vanilla,0.35,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.18
25,Ursi Sahne Milchreis Schoko,0.29,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.15
26,Milsani Joghurt Natur,0.69,100 Gramm,Becher 600 Gramm,aldi-nord,Molkereiprodukte,0.11499999999999999
27,Deli Reform Margarine Das Original,0.79,100 Gramm,Becher 500  Gramm,aldi-nord,Molkereiprodukte,0.158
28,Mini Babybel rot 45% Fett,1.69,100 Gramm,"Netz 120 Gramm, 6 x 20 g",aldi-nord,Molkereiprodukte,1.41
29,Sontner Vanille Zauber Vanilla & Quark,0.99,100 Gramm,Becher 500 Gramm,aldi-nord,Molkereiprodukte,0.198
30,Ursi feine Vanilla Creme mit Sahne,0.25,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.13
31,Ursi Mon Dessert Double Nut,0.39,100 Gramm,Becher 175 Gramm,aldi-nord,Molkereiprodukte,0.22
32,Lisani Holländer Schmelzkäse,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,Molkereiprodukte,0.4
33,Lisani Allgäuer Schmelzkäsescheiben,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,Molkereiprodukte,0.4
34,"Milsani Frische Vollmilch 3,5% Fett",0.71,100 ml,Getränkekarton 1 L,aldi-nord,Molkereiprodukte,0.071
35,Coq de France Französischer Weichkäse 60% Fett,0.99,100 Gramm,,aldi-nord,Molkereiprodukte,0.5
36,Ehrmann Grand Dessert Plus Double-Choc,0.79,100 Gramm,Becher 190 Gramm,aldi-nord,Molkereiprodukte,0.42
37,Gourmet Ziegenfrischkäse im Speckmantel,1.69,100 Gramm,Packung 90 Gramm,aldi-nord,Molkereiprodukte,1.88
38,Gourmet Mousse au Chocolat Milchschokolade,2.99,100 Gramm,Dose 400 Gramm,aldi-nord,Molkereiprodukte,0.75
39,Spitzbub / Aldi Nord Allgäuer Limburger leicht,1.39,100 Gramm,Packung 200 Gramm,aldi-nord,Molkereiprodukte,0.7
40,Hofburger Junger Gouda am Stück,2.09,100 Gramm,Packung 525 Gramm,aldi-nord,Molkereiprodukte,0.4
41,"Ursi Frucht Junior 2 x 100 g Erdbeere, 2 x 100 g Banane",0.99,100 Gramm,Becher 400 Gramm,aldi-nord,Molkereiprodukte,0.25
42,Gut Bio Süßrahm Butter,2.29,100 Gramm,Folie 250 Gramm,aldi-nord,Molkereiprodukte,0.92
43,Lisani Schmelzkäsezubereitung Sahne,0.99,100 Gramm,Packung 200 Gramm,aldi-nord,Molkereiprodukte,0.5
44,"Molenland Gouda Holland mittelalt in Scheiben , 48% Fett i. Tr.",1.55,100 Gramm,Packung 300 Gramm,aldi-nord,Molkereiprodukte,0.52
45,"Sontner Frucht Joghurt Erdbeere, 8 x",1.59,100 Gramm,Packung 1200 Gramm,aldi-nord,Molkereiprodukte,0.13
46,Belgischer Abteikäse Abbaye,1.99,100 Gramm,Packung 200 Gramm,aldi-nord,Molkereiprodukte,1.0
47,Ursi feine Schoko Creme mit Sahne,0.25,100 Gramm,Becher 200 Gramm,aldi-nord,Molkereiprodukte,0.13
